id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크
43,D,알람브르 마데이라 모스카텔 세투발 20년,Alambre Madeira Moscatel Setúbal 20 Year Old,Alambre,,750ml,70013,,,없음,,,,,,,,2024,보통,,False,https://charme-du-vin.com/2024/01/32989/
44,D,レオナルド 포트 30년,レオナルド Port 30 Year Old,レオナルド,,750ml,82368,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/01/32987/
53,A,바르베이토 마데이라 세르시알 10년,Barbeito Madeira Sercial 10 Year Old,Barbeito,,750ml,33977,68123,0.5012,해외가,Barbeito 10 Years Old Reserve Sercial Madeira,1.0,,,,USD,45.72,2024,보통,,False,https://charme-du-vin.com/2024/01/32969/
57,D,ショーンレバーブブルムレイン 라인가우 리슬링 트로켄,ショーンレバーブブルムレイン Rheingau Riesling Trocken,ショーンレバーブブルムレイン,,750ml,20592,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/01/32950/
58,D,ガントラム 도른펠더 트로켄,ガントラム Dornfelder Trocken,ガントラム,,750ml,14414,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/01/32948/
63,A,엘 푼티도,El Puntido,Puntido,,750ml,54905,153828,0.6431,해외가,Viñedos de Páganos El Puntido 2006,1.0,,,,USD,103.24,2023,보통,빈티지대체,False,https://charme-du-vin.com/2023/05/30335/
66,A,핑구스,Pingus,Pingus,,750ml,1055736,4364210,0.7581,해외가,Dominio de Pingus Pingus 2005,1.0,,,,USD,2929.0,2022,낮음,빈티지대체,False,https://charme-du-vin.com/2022/12/28439/
67,A,로페스 데 에레디아 비냐 톤도니아 레세르바,López de Heredia Viña Tondonia Reserva,López,,750ml,76111,193685,0.607,해외가,R. López de Heredia Viña Tondonia Reserva 2009,1.0,,,,USD,129.99,2022,낮음,,False,https://charme-du-vin.com/2022/11/28215/
68,A,핑구스,Pingus,Pingus,,750ml,1203048,1936985,0.3789,해외가,Dominio de Pingus Pingus 2019,1.0,,,,USD,1299.99,2022,낮음,,False,https://charme-du-vin.com/2022/11/28033/
72,D,Ψ Psi 리베라 델 두에로,Ψ Psi Ribera del Duero,Ψ,,750ml,41738,,,없음,,,,,,,,2022,낮음,,False,https://charme-du-vin.com/2022/08/27031/
73,D,엘 ヴィンクロ 크리안사,El ヴィンクロ Crianza,ヴィンクロ,,750ml,20869,,,없음,,,,,,,,2022,낮음,,True,https://charme-du-vin.com/2022/06/26625/
75,A,발렌시소 리오하 레세르바,Valenciso Rioja Reserva,Valenciso,,750ml,38056,131403,0.7104,해외가,VALENCISO Rioja Reserva 10 Años Después Edición Limitada 2014,1.0,,,,USD,88.19,2022,낮음,,False,https://charme-du-vin.com/2022/06/26507/
76,D,ヴァルダヤ 리베라 델 두에로,ヴァルダヤ Ribera del Duero,ヴァルダヤ,,750ml,63835,,,없음,,,,,,,,2022,낮음,,True,https://charme-du-vin.com/2022/04/25786/
79,D,마스 델 セラル,Mas del セラル,セラル,,1500ml,196416,,,없음,,,,,,,,2022,낮음,"실제병가:316,800원",True,https://charme-du-vin.com/2022/03/25508/
80,D,ヴェレタ 데 ソラーノ 템프라니요,ヴェレタ de ソラーノ Tempranillo,ヴェレタ,,750ml,9821,,,없음,,,,,,,,2022,낮음,,True,https://charme-du-vin.com/2022/03/25499/
81,A,프레이셰넷 코르돈 네그로 브뤼,Freixenet Cordon Negro Brut,Freixenet,,750ml,7734,19355,0.6004,해외가,Freixenet Cava Cordón Negro Brut,1.0,,,,USD,12.99,2022,낮음,,False,https://charme-du-vin.com/2022/01/25123/
83,A,플로르 데 핑구스,Flor de Pingus,Flor,,750ml,128700,402285,0.6801,해외가,Dominio de Pingus Flor de Pingus 2022,1.0,,,,USD,269.99,2021,낮음,빈티지대체,False,https://charme-du-vin.com/2021/12/24869/
84,D,マー セルヴェラ 카베르네 소비뇽,マー セルヴェラ Cabernet Sauvignon,マー,,750ml,16731,,,없음,,,,,,,,2021,낮음,,True,https://charme-du-vin.com/2021/11/24338/
85,D,マー セルヴェラ 시라,マー セルヴェラ Syrah,マー,,750ml,16731,,,없음,,,,,,,,2021,낮음,,True,https://charme-du-vin.com/2021/11/24338/
88,A,누만시아 테르메스,Numanthia Termes,Numanthia,,750ml,30888,81935,0.623,해외가,Bodega Numanthia Termes 2017,1.0,,,,USD,54.99,2021,낮음,,False,https://charme-du-vin.com/2021/09/23817/
89,D,베이라 피노 누아,Beira Pinot Noir,Beira,,750ml,38610,,,없음,,,,,,,,2021,낮음,,False,https://charme-du-vin.com/2021/09/23676/
92,A,뱅자맹 드 로스차일드 & 베가 시실리아 마칸 리오하,Benjamin de Rothschild & Vega Sicilia Macán Rioja,Benjamin,,750ml,79794,192195,0.5848,해외가,Benjamin de Rothschild - Vega Sicilia Macán 2018,0.833,,,,USD,128.99,2021,낮음,빈티지대체,False,https://charme-du-vin.com/2021/01/21470/
