카테고리,id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크,빈티지,빈티지검증
스페인·포르투갈,83,B,플로르 데 핑구스 2018,Flor de Pingus 2018,Flor,,750ml,128700,402285,0.6801,해외가,Dominio de Pingus Flor de Pingus 2022,1.0,,,,USD,269.99,2021,낮음,빈티지대체,False,https://charme-du-vin.com/2021/12/24869/,2018,빈티지불일치
이탈리아,32,A,페트롤로 토리오네 2021,Petrolo Torrione 2021,Petrolo,,750ml,22770,64055,0.6445,해외가,Petrolo Toscana Torrione 2021,1.0,,,,USD,42.99,2026,높음,,False,https://charme-du-vin.com/2026/01/42404/,2021,일치
미국,50,B,칼레라 밀스 2021,Calera Mills 2021,Calera,,750ml,98010,275650,0.6444,해외가,Calera Pinot Noir Mills Vineyard 2000,1.0,,,,USD,185.0,2026,높음,빈티지대체,False,https://charme-du-vin.com/2026/03/42749/,2021,빈티지불일치
스페인·포르투갈,63,B,엘 푼티도 2018,El Puntido 2018,Puntido,,750ml,54905,153828,0.6431,해외가,Viñedos de Páganos El Puntido 2006,1.0,,,,USD,103.24,2023,보통,빈티지대체,False,https://charme-du-vin.com/2023/05/30335/,2018,빈티지불일치
스페인·포르투갈,2,A,핑구스 2021,Pingus 2021,Pingus,,750ml,1287000,3415080,0.6231,해외가,Dominio de Pingus Pingus 2021,1.0,,,,USD,2292.0,2026,높음,,False,https://charme-du-vin.com/2026/04/43189/,2021,일치
스페인·포르투갈,12,A,핑구스 ‘ 2021,Pingus ‘ 2021,Pingus,,750ml,1287000,3415080,0.6231,해외가,Dominio de Pingus Pingus 2021,1.0,,,,USD,2292.0,2025,높음,,False,https://charme-du-vin.com/2025/09/40721/,2021,일치
스페인·포르투갈,88,A,누만시아 테르메스 2017,Numanthia Termes 2017,Numanthia,,750ml,30888,81935,0.623,해외가,Bodega Numanthia Termes 2017,1.0,,,,USD,54.99,2021,낮음,,False,https://charme-du-vin.com/2021/09/23817/,2017,일치
스페인·포르투갈,9,A,알바리뇨 데 페피냐네스 2022,Albariño de Fefiñanes 2022,Albariño,,750ml,37620,96835,0.6115,해외가,Fefiñanes Albariño de Fefiñanes III Año 2022,1.0,,,,USD,64.99,2025,높음,,False,https://charme-du-vin.com/2025/12/41832/,2022,일치
이탈리아,31,A,페트롤로 보지나 비안코 B 2021,Petrolo Boggina Bianco B 2021,Petrolo,,750ml,43560,111735,0.6101,해외가,Petrolo Boggina B Bianco 2021,1.0,,,,USD,74.99,2026,높음,,False,https://charme-du-vin.com/2026/01/42407/,2021,일치
스페인·포르투갈,67,A,로페스 데 에레디아 비냐 톤도니아 레세르바 2009,López de Heredia Viña Tondonia Reserva 2009,López,,750ml,76111,193685,0.607,해외가,R. López de Heredia Viña Tondonia Reserva 2009,1.0,,,,USD,129.99,2022,낮음,,False,https://charme-du-vin.com/2022/11/28215/,2009,일치
미국,11,B,칼레라 셀렉 2019,Calera Selleck 2019,Calera,,750ml,153450,384420,0.6008,해외가,Calera Pinot Noir Selleck Vineyard 1997,1.0,,,,USD,258.0,2026,높음,빈티지대체,False,https://charme-du-vin.com/2026/06/43857/,2019,빈티지불일치
미국,49,B,칼레라 셀렉 2020,Calera Selleck 2020,Calera,,750ml,153450,384420,0.6008,해외가,Calera Pinot Noir Selleck Vineyard 1997,1.0,,,,USD,258.0,2026,높음,빈티지대체,False,https://charme-du-vin.com/2026/03/42749/,2020,빈티지불일치
스페인·포르투갈,81,A,프레이셰넷 코르돈 네그로 브뤼,Freixenet Cordon Negro Brut,Freixenet,,750ml,7734,19355,0.6004,해외가,Freixenet Cava Cordón Negro Brut,1.0,,,,USD,12.99,2022,낮음,,False,https://charme-du-vin.com/2022/01/25123/,표기없음,원문빈티지없음
스페인·포르투갈,92,B,뱅자맹 드 로스차일드 & 베가 시실리아 마칸 리오하 2011,Benjamin de Rothschild & Vega Sicilia Macán Rioja 2011,Benjamin,,750ml,79794,192195,0.5848,해외가,Benjamin de Rothschild - Vega Sicilia Macán 2018,0.833,,,,USD,128.99,2021,낮음,빈티지대체,False,https://charme-du-vin.com/2021/01/21470/,2011,빈티지불일치
이탈리아,22,A,레 마키올레 메소리오 2021,Le Macchiole Messorio 2021,Macchiole,,750ml,356400,858240,0.5847,해외가,Le Macchiole Messorio 2021,1.0,,,,USD,576.0,2026,높음,,False,https://charme-du-vin.com/2026/04/43103/,2021,일치
미국,18,A,할란 에스테이트 프로몬토리 2018,Harlan Estate Promontory 2018,Harlan,,750ml,1138500,2674476,0.5743,해외가,Harlan Estate Red 2018,0.5,,,,USD,1794.95,2026,높음,,False,https://charme-du-vin.com/2026/05/43557/,2018,일치
미국,51,B,키슬러 피노 누아 소노마 코스트 2021,Kistler Pinot Noir Sonoma Coast 2021,Kistler,,750ml,99000,226480,0.5629,해외가,Kistler Kistler Vineyard Pinot Noir 2003,1.0,,,,USD,152.0,2026,높음,빈티지대체,False,https://charme-du-vin.com/2026/03/42744/,2021,빈티지불일치
이탈리아,33,A,페트롤로 토리오네 2019,Petrolo Torrione 2019,Petrolo,,750ml,17820,40200,0.5567,해외가,Petrolo Toscana Torrione 2019,1.0,,,,USD,26.98,2026,높음,,False,https://charme-du-vin.com/2026/01/42404/,2019,일치
이탈리아,68,A,카파르초 브루넬로 디 몬탈치노 2018,Caparzo Brunello di Montalcino 2018,Caparzo,DOCG,750ml,49500,111661,0.5567,해외가,Caparzo La Casa Brunello di Montalcino 2018,1.0,,,,USD,74.94,2025,높음,,False,https://charme-du-vin.com/2025/05/39370/,2018,일치
이탈리아,71,B,안티노리 피노 네로 2019,Antinori Pinot Nero 2019,Antinori,,750ml,53460,119185,0.5515,해외가,Antinori Castello della Sala Pinot Nero 2021,1.0,,,,USD,79.99,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/04/39121/,2019,빈티지불일치
이탈리아,59,B,바로네 코르나키아 몬테풀차노 다브루초 2019,Barone Cornacchia Montepulciano d'Abruzzo 2019,Barone,,750ml,13860,29800,0.5349,해외가,Barone Cornacchia Montepulciano d'Abruzzo 2022,1.0,,,,USD,20.0,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/07/40141/,2019,빈티지불일치
미국,60,A,오베르 UV‐SL 소노마 코스트 샤르도네 2023,Aubert UV‐SL Sonoma Coast Chardonnay 2023,Aubert,,750ml,272250,554280,0.5088,해외가,Aubert Chardonnay UV-SL Vineyard 2023,1.0,,,,USD,372.0,2025,높음,,False,https://charme-du-vin.com/2025/12/41700/,2023,일치
스페인·포르투갈,53,A,바르베이토 마데이라 세르시알 10년,Barbeito Madeira Sercial 10 Year Old,Barbeito,,750ml,33977,68123,0.5012,해외가,Barbeito 10 Years Old Reserve Sercial Madeira,1.0,,,,USD,45.72,2024,보통,,False,https://charme-du-vin.com/2024/01/32969/,표기없음,원문빈티지없음
이탈리아,66,B,파트리모 페우디 디 산 그레고리오 2015,Patrimo Feudi di San Gregorio 2015,Patrimo,,750ml,118800,236835,0.4984,해외가,Feudi di San Gregorio Pàtrimo 2013,1.0,,,,USD,158.95,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/05/39468/,2015,빈티지불일치
이탈리아,55,A,안티노리 피안 델레 비녜 브루넬로 디 몬탈치노 2019,Antinori Pian delle Vigne Brunello di Montalcino 2019,Antinori,DOCG,750ml,67320,134026,0.4977,해외가,Antinori Pian delle Vigne Brunello di Montalcino 2019,1.0,,,,USD,89.95,2025,높음,,False,https://charme-du-vin.com/2025/07/40245/,2019,일치
이탈리아,38,A,가야 로시 바스 랑게 2024,Gaja Rossj-Bass Langhe 2024,Gaja,DOC,750ml,91080,180916,0.4966,해외가,Gaja Rossj-Bass Langhe 2024,1.0,,,,USD,121.42,2025,높음,,False,https://charme-du-vin.com/2025/12/42103/,2024,일치
이탈리아,39,A,가야 가야 에 레이 샤르도네 2023,Gaja Gaja e Rey Chardonnay 2023,Gaja,,750ml,287100,563146,0.4902,해외가,Gaja Gaia & Rey Langhe 2023,0.667,,,,USD,377.95,2025,높음,,False,https://charme-du-vin.com/2025/12/42103/,2023,일치
이탈리아,29,A,페트롤로 갈라트로나 2021,Petrolo Galatrona 2021,Petrolo,,750ml,84150,163870,0.4865,해외가,Petrolo Galatrona 2021,1.0,,,,USD,109.98,2026,높음,,False,https://charme-du-vin.com/2026/01/42401/,2021,일치
이탈리아,60,A,플라차넬로 델라 피에베 2021,Flaccianello della Pieve 2021,Flaccianello,,750ml,176220,342685,0.4858,해외가,Fontodi Flaccianello della Pieve 2021,1.0,,,,USD,229.99,2025,높음,,False,https://charme-du-vin.com/2025/06/39937/,2021,일치
이탈리아,45,A,오르넬라이아 2020,Ornellaia 2020,Ornellaia,,750ml,306900,595985,0.4851,해외가,Ornellaia Bolgheri Superiore 2020,1.0,,,,USD,399.99,2025,높음,,False,https://charme-du-vin.com/2025/09/40812/,2020,일치
이탈리아,43,A,발디카바 브루넬로 디 몬탈치노 2019,Valdicava Brunello di Montalcino 2019,Valdicava,DOCG,750ml,153450,297985,0.485,해외가,Valdicava Brunello di Montalcino 2019,1.0,,,,USD,199.99,2025,높음,,False,https://charme-du-vin.com/2025/11/41630/,2019,일치
미국,12,B,칼레라 젠슨 2022,Calera Jensen 2022,Calera,,750ml,153450,296510,0.4825,해외가,Calera Pinot Noir Jensen Vineyard 2007,1.0,,,,USD,199.0,2026,높음,빈티지대체,False,https://charme-du-vin.com/2026/06/43857/,2022,빈티지불일치
이탈리아,4,A,카스텔로 디 아마 라파리타 2019,Castello di Ama L'Apparita 2019,Ama,,750ml,287100,552224,0.4801,해외가,Castello di Ama L'Apparita 2019,1.0,,,,USD,370.62,2026,높음,,False,https://charme-du-vin.com/2026/07/44264/,2019,일치
스페인·포르투갈,41,A,그레이엄스 토니 20년,Graham's Tawny 20 Year Old,Graham's,,750ml,55598,104285,0.4669,해외가,W. & J. Graham's 20 Year Old Tawny Port,1.0,,,,USD,69.99,2024,보통,,False,https://charme-du-vin.com/2024/02/33235/,표기없음,원문빈티지없음
스페인·포르투갈,32,A,클레멘스 부쉬 리슬링 마리엔부르크 로텐파트 2018,Clemens Busch Riesling Marienburg Rothenpfad 2018,Clemens,,750ml,59717,111661,0.4652,해외가,Clemens Busch Marienburg GG Felsterrasse 2018,0.6,,,,USD,74.94,2024,보통,,False,https://charme-du-vin.com/2024/06/34933/,2018,일치
스페인·포르투갈,19,A,클로스 모가도르 넬린 프리오라트 2020,Clos Mogador Nelin Priorat 2020,Clos,,750ml,79200,147495,0.463,해외가,Clos Mogador Priorat 2020,0.75,,,,USD,98.99,2025,높음,,False,https://charme-du-vin.com/2025/03/38548/,2020,일치
이탈리아,49,B,프루노토 모스카토 다스티 2023,Prunotto Moscato d'Asti 2023,Prunotto,DOCG,750ml,18810,34196,0.4499,해외가,Prunotto Moscato d'Asti 2024,1.0,,,,USD,22.95,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/09/40660/,2023,빈티지불일치
이탈리아,10,A,사마스 2025,Samas 2025,Samas,,750ml,22770,40156,0.433,해외가,Punica Samas 2025,1.0,,,,USD,26.95,2026,높음,,False,https://charme-du-vin.com/2026/07/44109/,2025,일치
이탈리아,37,A,가야 알테니 디 브라시카 2023,Gaja Alteni di Brassica 2023,Gaja,,750ml,168300,296510,0.4324,해외가,Gaja Alteni di Brassica Langhe 2023,1.0,,,,USD,199.0,2025,높음,,False,https://charme-du-vin.com/2025/12/42103/,2023,일치
이탈리아,53,A,아마 키안티 클라시코 2022,Ama Chianti Classico 2022,Ama,DOCG,750ml,33660,58736,0.4269,해외가,Castello di Ama Chianti Classico 2022,1.0,,,,USD,39.42,2025,높음,,False,https://charme-du-vin.com/2025/07/40368/,2022,일치
이탈리아,57,A,안티노리 솔라이아 2021,Antinori Solaia 2021,Antinori,,750ml,415800,715200,0.4186,해외가,Antinori Tenuta Tignanello 'Solaia' 2021,1.0,,,,USD,480.0,2025,높음,,False,https://charme-du-vin.com/2025/07/40243/,2021,일치
이탈리아,76,A,비온디 산티 브루넬로 디 몬탈치노 2018,Biondi-Santi Brunello di Montalcino 2018,Biondi-Santi,DOCG,750ml,257400,435736,0.4093,해외가,Biondi-Santi Brunello di Montalcino 2018,1.0,,,,USD,292.44,2025,높음,,False,https://charme-du-vin.com/2025/03/38518/,2018,일치
이탈리아,5,A,가야 다그로미스 바롤로 2021,Gaja Dagromis Barolo 2021,Gaja,DOCG,750ml,123750,208585,0.4067,해외가,Gaja Dagromis Barolo 2021,1.0,,,,USD,139.99,2026,높음,,False,https://charme-du-vin.com/2026/07/44270/,2021,일치
이탈리아,58,A,카세 바세 솔데라 2020,Case Basse Soldera 2020,Case,,750ml,762300,1251585,0.3909,해외가,Soldera Case Basse Sangiovese Toscana 2020,1.0,,,,USD,839.99,2025,높음,,False,https://charme-du-vin.com/2025/07/40241/,2020,일치
이탈리아,42,A,로베르토 보에르치오 바롤로 체레퀴오 2019,Roberto Voerzio Barolo Cerequio 2019,Roberto,DOCG,750ml,336600,551285,0.3894,해외가,Roberto Voerzio Brunate  Barolo 2019,0.75,,,,USD,369.99,2025,높음,,False,https://charme-du-vin.com/2025/11/41637/,2019,일치
스페인·포르투갈,23,A,핑구스 2020,Pingus 2020,Pingus,,750ml,1184040,1936985,0.3887,해외가,Dominio de Pingus Pingus 2020,1.0,,,,USD,1299.99,2024,보통,,False,https://charme-du-vin.com/2024/11/36816/,2020,일치
이탈리아,78,A,달 포르노 로마노 아마로네 델라 발폴리첼라 2017,Dal Forno Romano Amarone della Valpolicella 2017,Dal,DOCG,750ml,445500,727254,0.3874,해외가,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2017,1.0,,,,USD,488.09,2025,높음,,False,https://charme-du-vin.com/2025/02/38266/,2017,일치
스페인·포르투갈,68,A,핑구스 2019,Pingus 2019,Pingus,,750ml,1203048,1936985,0.3789,해외가,Dominio de Pingus Pingus 2019,1.0,,,,USD,1299.99,2022,낮음,,False,https://charme-du-vin.com/2022/11/28033/,2019,일치
미국,116,A,잉글눅 루비콘 2018,Inglenook Rubicon 2018,Inglenook,,750ml,188100,297985,0.3688,해외가,Inglenook Rubicon 2018,1.0,,,,USD,199.99,2025,높음,,False,https://charme-du-vin.com/2025/05/39382/,2018,일치
스페인·포르투갈,28,B,비냐 레알 레세르바 2016,Viña Real Reserva 2016,Real,,750ml,32947,52135,0.368,해외가,Viña Real Rioja Reserva 2018,1.0,,,,USD,34.99,2024,보통,빈티지대체,False,https://charme-du-vin.com/2024/07/35477/,2016,빈티지불일치
미국,127,A,더 마스코트 나파 2019,The Mascot Napa 2019,Mascot,,750ml,188100,296510,0.3656,해외가,The Mascot Cabernet Sauvignon 2019,1.0,,,,USD,199.0,2025,높음,,False,https://charme-du-vin.com/2025/03/38551/,2019,일치
스페인·포르투갈,37,A,루스코 알바리뇨,Lusco Albariño,Lusco,,750ml,25740,40156,0.359,해외가,Pazos de Lusco Lusco Albariño 2024,1.0,,,,USD,26.95,2024,보통,,False,https://charme-du-vin.com/2024/05/34617/,표기없음,원문빈티지없음
스페인·포르투갈,42,A,그레이엄스 토니 30년,Graham's Tawny 30 Year Old,Graham's,,750ml,133848,208585,0.3583,해외가,W. & J. Graham's 30 Year Old Tawny Port,1.0,,,,USD,139.99,2024,보통,,False,https://charme-du-vin.com/2024/02/33235/,표기없음,원문빈티지없음
이탈리아,64,B,파토리아 디 바르비 브루넬로 비냐 델 피오레 2018,Fattoria di Barbi Brunello Vigna del Fiore 2018,Barbi,,750ml,163350,251810,0.3513,해외가,Fattoria dei Barbi Brunello di Montalcino Vigna di Fiore 1990,1.0,,,,USD,169.0,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/05/39471/,2018,빈티지불일치
이탈리아,13,A,가야 바르바레스코 2021,Gaja Barbaresco 2021,Gaja,DOCG,750ml,346500,521485,0.3356,해외가,Gaja Barbaresco 2021,1.0,,,,USD,349.99,2026,높음,,False,https://charme-du-vin.com/2026/06/43879/,2021,일치
이탈리아,48,A,테스타마타 2021,Testamatta 2021,Testamatta,,750ml,108900,163900,0.3356,해외가,Bibi Graetz Testamatta Toscana 2021,1.0,,,,USD,110.0,2025,높음,,False,https://charme-du-vin.com/2025/09/40718/,2021,일치
이탈리아,34,A,레 세레 누오베 디 오르넬라이아 2020,Le Serre Nuove di Ornellaia 2020,Serre,,750ml,64350,96835,0.3355,해외가,Ornellaia Le Serre Nuove 2020,1.0,,,,USD,64.99,2026,높음,,False,https://charme-du-vin.com/2026/01/42348/,2020,일치
스페인·포르투갈,21,A,플로르 데 핑구스 2020,Flor de Pingus 2020,Flor,,750ml,128700,193685,0.3355,해외가,Dominio de Pingus Flor de Pingus 2020,1.0,,,,USD,129.99,2025,높음,,False,https://charme-du-vin.com/2025/02/38160/,2020,일치
이탈리아,50,A,사마스 2024,Samas 2024,Samas,,750ml,22770,34255,0.3353,해외가,Punica Samas 2024,1.0,,,,USD,22.99,2025,높음,,False,https://charme-du-vin.com/2025/08/40589/,2024,일치
스페인·포르투갈,38,B,로제르 굴라르트 그란 레세르바 140周年 2017,Roger Goulart Gran Reserva 140周年 2017,Roger,,750ml,28829,43210,0.3328,해외가,Roger Goulart Cava Gran Reserva Brut 2020,0.8,,,,USD,29.0,2024,보통,빈티지대체,False,https://charme-du-vin.com/2024/05/34602/,2017,빈티지불일치
미국,59,A,오퍼스 원 2018,Opus One 2018,Opus,,750ml,594000,886550,0.33,해외가,Opus One Opus One 2018,1.0,,,,USD,595.0,2025,높음,,False,https://charme-du-vin.com/2025/12/41887/,2018,일치
스페인·포르투갈,18,A,클로스 모가도르 프리오라트 2021,Clos Mogador Priorat 2021,Clos,,750ml,118800,174315,0.3185,해외가,Clos Mogador Priorat 2021,1.0,,,,USD,116.99,2025,높음,,False,https://charme-du-vin.com/2025/03/38548/,2021,일치
이탈리아,65,A,파토리아 디 바르비 로소 디 몬탈치노 2021,Fattoria di Barbi Rosso di Montalcino 2021,Barbi,DOC,750ml,38610,55949,0.3099,해외가,Fattoria dei Barbi Rosso di Montalcino 2021,1.0,,,,USD,37.55,2025,높음,,False,https://charme-du-vin.com/2025/05/39471/,2021,일치
이탈리아,20,A,자코모 콘테르노 바롤로 프란차 2021,Giacomo Conterno Barolo Francia 2021,Giacomo,DOCG,750ml,376200,544446,0.309,해외가,Giacomo Conterno Barolo Cascina Francia 2021,1.0,,,,USD,365.4,2026,높음,,False,https://charme-du-vin.com/2026/04/43201/,2021,일치
이탈리아,30,B,페트롤로 보지나 안포라 A 2021,Petrolo Boggina Anfora A 2021,Petrolo,,750ml,35640,135098,0.7362,해외가,Petrolo Bòggina A 2023,0.667,,,,USD,90.67,2026,높음,빈티지대체,False,https://charme-du-vin.com/2026/01/42407/,2021,빈티지불일치
미국,61,B,오베르 피노 누아 유브이 빈야드 2023,Aubert Pinot Noir UV Vineyard 2023,Aubert,,750ml,207900,631760,0.6709,해외가,Aubert Pinot Noir CIX 2022,0.75,,,,USD,424.0,2025,높음,빈티지대체,True,https://charme-du-vin.com/2025/12/41700/,2023,빈티지불일치
이탈리아,80,B,포조 디 소토 로소 디 몬탈치노 2021,Poggio di Sotto Rosso di Montalcino 2021,Poggio,DOC,750ml,113850,335250,0.6604,해외가,Poggio di Sotto Brunello di Montalcino 2021,0.75,,,,USD,225.0,2025,높음,,False,https://charme-du-vin.com/2025/02/38228/,2021,일치
미국,140,B,알반 빈야드 파트리나 2020,Alban Vineyard Patrina 2020,Alban,,750ml,103950,297970,0.6511,해외가,Alban Vineyards Seymour's 2020,1.0,,,,USD,199.98,2025,높음,,True,https://charme-du-vin.com/2025/01/37840/,2020,일치
미국,62,B,오베르 피노 누아 유브이에스엘 빈야드 2023,Aubert Pinot Noir UV-SL Vineyard 2023,Aubert,,750ml,227700,631760,0.6396,해외가,Aubert Pinot Noir CIX 2022,0.6,,,,USD,424.0,2025,높음,빈티지대체,True,https://charme-du-vin.com/2025/12/41700/,2023,빈티지불일치
스페인·포르투갈,48,B,돌리베이라 마데이라 부알 2001,D'Oliveira Madeira Bual 2001,D'Oliveira,,750ml,164736,441040,0.6265,해외가,D'Oliveiras Boal Madeira 2001,0.333,,,,USD,296.0,2024,보통,,False,https://charme-du-vin.com/2024/01/32983/,2001,일치
스페인·포르투갈,39,B,로제르 굴라르트 코랄 로사도 브뤼,Roger Goulart Coral Rosado Brut,Roger,,1.5L,13900,37176,0.6261,해외가,Roger Goulart Cava Reserva Brut 2019,0.667,24500,48250,2022-09-18,USD,24.95,2024,보통,"실제병가:26,730원",True,https://charme-du-vin.com/2024/05/34599/,표기없음,원문빈티지없음
미국,96,B,피터 마이클 샤르도네 벨 코트 2020,Peter Michael Chardonnay Belle Côte 2020,Peter,,750ml,237600,604940,0.6072,해외가,Peter Michael Mon Plaisir Chardonnay 2020,1.0,,,,USD,406.0,2025,높음,,True,https://charme-du-vin.com/2025/07/40250/,2020,일치
스페인·포르투갈,49,B,돌리베이라 마데이라 베르데호 2003,D'Oliveira Madeira Verdejo 2003,D'Oliveira,,750ml,144144,357600,0.5969,해외가,D'Oliveiras Verdelho Madeira 2004,0.333,,,,USD,240.0,2024,보통,빈티지대체,False,https://charme-du-vin.com/2024/01/32983/,2003,빈티지불일치
스페인·포르투갈,59,B,라 리오하 알타 비냐 아르단사 레세르바 2015,La Rioja Alta Viña Ardanza Reserva 2015,Rioja,,750ml,53737,128125,0.5806,해외가,La Rioja Alta Rioja Gran Reserva 904 2015,1.0,,,,USD,85.99,2023,보통,,True,https://charme-du-vin.com/2023/10/32221/,2015,일치
미국,125,B,신 쿠아 논 디스텐타 IV 시라 2022,Sine Qua Non Distenta IV Syrah 2022,Sine,,750ml,544500,1241170,0.5613,해외가,Sine Qua Non Eleven Confessions Syrah 2022,0.8,,,,USD,833.0,2025,높음,,True,https://charme-du-vin.com/2025/04/39042/,2022,일치
스페인·포르투갈,91,B,로제르 굴라르트 코랄 로사도 브뤼,Roger Goulart Coral Rosado Brut,Roger,,750ml,16731,37176,0.55,해외가,Roger Goulart Cava Reserva Brut 2019,0.667,24500,48250,2022-09-18,USD,24.95,2021,낮음,,True,https://charme-du-vin.com/2021/03/22097/,표기없음,원문빈티지없음
이탈리아,44,B,발디카바 브루넬로 디 몬탈치노 モントゾーリ,Valdicava Brunello di Montalcino モントゾーリ,Valdicava,DOCG,750ml,316800,691658,0.542,해외가,Valdicava Brunello di Montalcino 2001,1.0,,,,USD,464.2,2025,높음,,True,https://charme-du-vin.com/2025/11/41630/,표기없음,원문빈티지없음
스페인·포르투갈,62,B,틴토 페스케라 크리안사 2019,Tinto Pesquera Crianza 2019,Tinto,,750ml,39719,86405,0.5403,해외가,Tinto Pesquera Reserva 2019,0.667,,,,USD,57.99,2023,보통,,False,https://charme-du-vin.com/2023/07/31010/,2019,일치
스페인·포르투갈,74,B,발렌시소 리오하 화이트 2020,Valenciso Rioja White 2020,Valenciso,,750ml,31918,69062,0.5378,해외가,VALENCISO Rioja Reserva 2019,0.667,,,,USD,46.35,2022,낮음,빈티지대체,False,https://charme-du-vin.com/2022/06/26507/,2020,빈티지불일치
스페인·포르투갈,56,B,바르베이토 마데이라 말바시아 10년,Barbeito Madeira Malvasia 10 Year Old,Barbeito,,750ml,33977,68123,0.5012,해외가,Barbeito 10 Years Old Reserve Sercial Madeira,0.75,,,,USD,45.72,2024,보통,,False,https://charme-du-vin.com/2024/01/32969/,표기없음,원문빈티지없음
스페인·포르투갈,54,B,바르베이토 마데이라 베르데호 10년,Barbeito Madeira Verdejo 10 Year Old,Barbeito,,750ml,33977,66424,0.4885,해외가,Barbeito 10 Years Old Reserva Verdelho Madeira,0.75,,,,USD,44.58,2024,보통,,False,https://charme-du-vin.com/2024/01/32969/,표기없음,원문빈티지없음
스페인·포르투갈,55,B,바르베이토 마데이라 부알 10년,Barbeito Madeira Bual 10 Year Old,Barbeito,,750ml,33977,66424,0.4885,해외가,Barbeito 10 Years Old Reserva Velha Boal Madeira,0.75,,,,USD,44.58,2024,보통,,False,https://charme-du-vin.com/2024/01/32969/,표기없음,원문빈티지없음
스페인·포르투갈,29,B,쿠네 레세르바 2019,CVNE Reserva 2019,CVNE,,750ml,23681,46175,0.4871,해외가,Cune (CVNE) Reserva Blanco 2019,1.0,,,,USD,30.99,2024,보통,,False,https://charme-du-vin.com/2024/07/35473/,2019,일치
