id,검색어,생산자_영문,생산자_한글,큐베,분류,현지가_원화,게시연도,신뢰도,우선순위,식별확실,샴드뱅링크
36,Dom Pérignon 2015 箱付き,Dom Pérignon,돔 페리뇽,2015 バスキア 箱付き,GM,316800.0,2025,높음,1,True,http://charme-du-vin.com/2025/02/38410/
37,Bollinger R.D. 2007,Bollinger,볼랭저,R.D. 2007,GM,336600.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41388/
38,Philipponnat 2009,Philipponnat,필리포나,クロデ ゴワセ 2009,GM,376200.0,2026,높음,1,True,http://charme-du-vin.com/2026/04/43311/
39,Louis Roederer Cristal 2016,Louis Roederer,루이 로드레,Cristal 2016,GM,394000.0,2025,높음,1,True,http://charme-du-vin.com/2025/04/39131/
40,Philipponnat 2004,Philipponnat,필리포나,クロデ ゴワセ 2004,GM,396000.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44038/
41,Bollinger R.D. 2002,Bollinger,볼랭저,R.D. 2002,GM,415800.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41388/
42,Bollinger R.D. 2008,Bollinger,볼랭저,R.D. 2008,GM,425700.0,2026,높음,1,True,http://charme-du-vin.com/2026/04/43142/
43,Krug Vintage 2013,Krug,크뤼그,Vintage 2013,GM,465300.0,2026,높음,1,True,http://charme-du-vin.com/2026/04/43326/
44,Krug Vintage 2006 箱付き,Krug,크뤼그,Vintage 2006 箱付き,GM,485100.0,2025,높음,1,True,http://charme-du-vin.com/2025/01/37714/
45,Krug Vintage 2011 り,Krug,크뤼그,Vintage 2011 [박스포함]り,GM,485100.0,2026,높음,1,True,http://charme-du-vin.com/2026/01/42211/
46,Louis Roederer Cristal Rosé 2014,Louis Roederer,루이 로드레,Cristal Rosé 2014,GM,811800.0,2025,높음,1,True,http://charme-du-vin.com/2025/04/39136/
47,Rare Champagne Champagne Collection 2008+ Rosé 2008,Rare Champagne,레어,Champagne Collection レア 2008+レア Rosé 2008,GM,851400.0,2026,높음,1,True,http://charme-du-vin.com/2026/06/43650/
48,Charles Heidsieck Collection Crayères 1996,Charles Heidsieck,샤를 하이직,Collection Crayères ブランデミレネール 1996,GM,940500.0,2026,높음,1,True,http://charme-du-vin.com/2026/06/43674/
49,Perrier-Jouët 2008,Perrier-Jouët,페리에 주에,2008,GM,970200.0,2025,높음,1,True,http://charme-du-vin.com/2025/06/39980/
50,Salon 2013,Salon,살롱,2013,GM,1287000.0,2025,높음,1,True,http://charme-du-vin.com/2025/05/39241/
51,Salon 2015,Salon,살롱,2015,GM,1346400.0,2025,높음,1,True,http://charme-du-vin.com/2025/09/40795/
52,Bollinger La Coteaux 2013,Bollinger,볼랭저,La コートオーザンファン Coteaux シャンプノワ 2013,GM,1386000.0,2025,높음,1,True,http://charme-du-vin.com/2025/01/37948/
53,Salon 2007,Salon,살롱,2007,GM,1584000.0,2025,높음,1,True,http://charme-du-vin.com/2025/10/41164/
54,Salon 2004,Salon,살롱,2004,GM,1683000.0,2026,높음,1,True,http://charme-du-vin.com/2026/02/42525/
55,Salon 2006,Salon,살롱,2006,GM,1683000.0,2026,높음,1,True,http://charme-du-vin.com/2026/06/43822/
56,Bollinger Vignes 2012,Bollinger,볼랭저,ヴィエーユ Vignes フランセーズ 2012,GM,1881000.0,2025,높음,1,True,http://charme-du-vin.com/2025/01/37948/
57,Charles Heidsieck Collection Crayères Millésime 1990,Charles Heidsieck,샤를 하이직,ラ Collection Crayères Millésime 1990,GM,2178000.0,2026,높음,1,True,http://charme-du-vin.com/2026/06/43665/
58,Château de Bligny Grande Réserve Brut,Château de Bligny,샤토 드 블리니,Grande Réserve Brut,NM,22800.0,2026,높음,1,True,http://charme-du-vin.com/2026/01/42413/
59,Château de Bligny Grand Rosé Brut,Château de Bligny,샤토 드 블리니,Grand Rosé Brut,NM,23800.0,2026,높음,1,True,http://charme-du-vin.com/2026/01/42413/
60,Charles Collin Brut,Charles Collin,샤를 콜랭,Brut [라벨불량],NM,37600.0,2025,높음,1,True,http://charme-du-vin.com/2025/12/42087/
61,Palmer & Co Brut Réserve,Palmer & Co,팔머,Brut Réserve,NM,48500.0,2025,높음,1,True,http://charme-du-vin.com/2025/10/41001/
62,Ayala Brut Majeur,Ayala,아얄라,Brut Majeur,NM,52500.0,2026,높음,1,True,http://charme-du-vin.com/2026/03/42845/
63,Ayala Brut Nature,Ayala,아얄라,Brut Nature,NM,55400.0,2026,높음,1,True,http://charme-du-vin.com/2026/03/42845/
64,Gosset Grande Réserve Brut,Gosset,고세,Grande Réserve Brut,NM,58400.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38509/
65,Thiénot Brut,Thiénot,티에노,Brut,NM,60400.0,2025,높음,1,True,http://charme-du-vin.com/2025/02/38174/
66,Gosset Grande Réserve 400周年記念,Gosset,고세,Grande Réserve 400周年記念ラベル,NM,63400.0,2025,높음,1,True,http://charme-du-vin.com/2025/07/40094/
67,Ayala Brut Rosé Majeur,Ayala,아얄라,Brut Rosé Majeur,NM,65300.0,2025,높음,1,True,http://charme-du-vin.com/2025/10/41139/
68,Ayala Rosé Majeur,Ayala,아얄라,Rosé Majeur,NM,65300.0,2026,높음,1,True,http://charme-du-vin.com/2026/03/42786/
69,Thiénot Brut Rosé ※旧,Thiénot,티에노,Brut Rosé ※旧ラベル,NM,69300.0,2025,높음,1,True,http://charme-du-vin.com/2025/10/41084/
70,Ayala Blanc de Blancs 2015,Ayala,아얄라,Blanc de Blancs 2015 [라벨불량],NM,71300.0,2025,높음,1,True,http://charme-du-vin.com/2025/12/42090/
71,Thiénot Blanc de Blancs,Thiénot,티에노,Blanc de Blancs ブリュ,NM,77200.0,2025,높음,1,True,http://charme-du-vin.com/2025/02/38174/
72,Thiénot Brut Vintage 2012 ※旧,Thiénot,티에노,Brut Vintage 2012 ※旧ラベル,NM,84200.0,2025,높음,1,True,http://charme-du-vin.com/2025/10/41084/
73,Palmer & Co Blanc de Blancs 2018,Palmer & Co,팔머,Blanc de Blancs 2018,NM,91100.0,2025,높음,1,True,http://charme-du-vin.com/2025/10/41001/
74,Jacquesson 747,Jacquesson,자크송,747,NM,104000.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38637/
75,Jacquesson Cuvée 746,Jacquesson,자크송,Cuvée 746,NM,123800.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38484/
76,Nicolas Feuillatte 2008,Nicolas Feuillatte,니콜라 푀이야트,パルムドール 2008,NM,188100.0,2026,높음,1,True,http://charme-du-vin.com/2026/04/43219/
77,Thiénot 2008 Cuvée,Thiénot,티에노,2008 Cuvée アラン ティエノ,NM,188100.0,2025,높음,1,True,http://charme-du-vin.com/2025/02/38183/
78,Jacquesson Cuvée 742,Jacquesson,자크송,Cuvée 742 デゴルジュマンタルディフ,NM,247500.0,2025,높음,1,True,http://charme-du-vin.com/2025/10/41222/
79,Henri Giraud Fût de Chêne MV18,Henri Giraud,앙리 지로,Fût de Chêne MV18,NM,277200.0,2025,높음,1,True,http://charme-du-vin.com/2025/05/39527/
80,Henri Giraud Fût de Chêne MV20,Henri Giraud,앙리 지로,Fût de Chêne MV20,NM,277200.0,2026,높음,1,True,http://charme-du-vin.com/2026/04/43278/
81,Henri Giraud PR20/90,Henri Giraud,앙리 지로,パーペチュアルリザーヴ PR20/90,NM,287100.0,2025,높음,1,True,http://charme-du-vin.com/2025/07/40110/
82,Paul Berthelot Cuvée,Paul Berthelot,폴 베르틀로,Cuvée リザーヴ [라벨불량],RM,39600.0,2025,높음,1,True,http://charme-du-vin.com/2025/12/42087/
83,Renard-Barnier,Renard-Barnier,르나르 바르니에,パルファン ディノサンス,RM,41600.0,2026,높음,1,True,http://charme-du-vin.com/2026/03/42953/
84,Cazé-Thibaut Brut Grand Cru,Cazé-Thibaut,카제 티보,Brut Grand Cru,RM,43600.0,2025,높음,1,True,http://charme-du-vin.com/2025/01/37909/
85,Guy de Saint Flavy Rosé,Guy de Saint Flavy,기 드 생플라비,Rosé,RM,44600.0,2026,높음,1,True,http://charme-du-vin.com/2026/05/43448/
86,Louis Nicaise Brut Réserve,Louis Nicaise,루이 니케즈,ニケーズ Brut Réserve,RM,44600.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38484/
87,Émile Leclère Blanc de Blancs Brut,Émile Leclère,에밀 르클레르,ルクレール Blanc de Blancs Brut,RM,50500.0,2026,높음,1,True,http://charme-du-vin.com/2026/02/42665/
88,André Beaufort Polisy Réserve,André Beaufort,앙드레 보포르,Polisy Réserve,RM,53500.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38502/
89,Robert Barbichon Blanc de Noirs,Robert Barbichon,로베르 바르비숑,Blanc de Noirs,RM,53500.0,2026,높음,1,True,http://charme-du-vin.com/2026/02/42663/
90,David Coutelas Cuvée Tradition,David Coutelas,다비드 쿠텔라,Cuvée Tradition,RM,53500.0,2026,높음,1,True,http://charme-du-vin.com/2026/02/42670/
91,André Clouet Silver Brut,André Clouet,앙드레 클루에,Silver Brut,RM,54400.0,2026,높음,1,True,http://charme-du-vin.com/2026/01/42185/
92,Robert Barbichon Réserve 4 Cépages,Robert Barbichon,로베르 바르비숑,Réserve 4 Cépages,RM,54400.0,2026,높음,1,True,http://charme-du-vin.com/2026/02/42663/
93,Allouchery-Perseval Tradition Blanc de Noirs,Allouchery-Perseval,알루슈리 페르스발,Tradition Blanc de Noirs,RM,55400.0,2026,높음,1,True,http://charme-du-vin.com/2026/02/42674/
94,Lilbert-Fils Blanc de Blancs GC Cramant,Lilbert-Fils,릴베르 피스,Blanc de Blancs GC Cramant,RM,56400.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38509/
95,Juillet-Lallement Brut Blanc de Noirs Grand Cru,Juillet-Lallement,쥐예 랄르망,Brut Blanc de Noirs Grand Cru,RM,57400.0,2025,높음,1,True,http://charme-du-vin.com/2025/02/38007/
96,Faucheron-Gavroy Grand Cru,Faucheron-Gavroy,포슈롱 가브루아,オリジン Grand Cru,RM,57400.0,2025,높음,1,True,http://charme-du-vin.com/2025/02/38031/
97,Augustin Blanc de Noirs 2020,Augustin,오귀스탱,テール Blanc de Noirs 2020,RM,58400.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38499/
98,André Clouet Grande Réserve Brut,André Clouet,앙드레 클루에,Grande Réserve Brut,RM,62400.0,2026,높음,1,True,http://charme-du-vin.com/2026/06/43980/
99,Varnier-Fannière Brut Grand Cru,Varnier-Fannière,바르니에 파니에르,Brut ゼロ Grand Cru,RM,62400.0,2026,높음,1,True,http://charme-du-vin.com/2026/01/42330/
100,Gatinois Grand Cru Tradition Brut,Gatinois,가티누아,Grand Cru Tradition Brut,RM,63400.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38506/
101,Christian Gosset Brut A03,Christian Gosset,크리스티앙 고세,ゴセ Brut A03,RM,63400.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38579/
102,Vincent Couche Extra Brut,Vincent Couche,뱅상 쿠슈,クロエ Extra Brut,RM,63400.0,2025,높음,1,True,http://charme-du-vin.com/2025/09/40680/
103,Pierre Moncuit Blanc de Blancs Hugues de Coulmet,Pierre Moncuit,피에르 몽퀴,Blanc de Blancs Hugues de Coulmet,RM,66300.0,2025,높음,1,True,http://charme-du-vin.com/2025/06/39985/
104,François Seconde Rosé Grand Cru,François Seconde,프랑수아 스공드,シルリー Rosé Grand Cru,RM,66300.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38579/
105,Michel Gonet Blanc de Blancs,Michel Gonet,미셸 고네,Blanc de Blancs ヴァンデモングー,RM,67300.0,2025,높음,1,True,http://charme-du-vin.com/2025/06/39639/
106,Pierre Moncuit Delos Blanc de Blancs,Pierre Moncuit,피에르 몽퀴,Delos Blanc de Blancs,RM,68300.0,2025,높음,1,True,http://charme-du-vin.com/2025/06/39985/
107,André Clouet Dream Vintage 2018,André Clouet,앙드레 클루에,Dream Vintage 2018,RM,69300.0,2026,높음,1,True,http://charme-du-vin.com/2026/01/42185/
108,Gatinois Aÿ Grand Cru Brut Réserve,Gatinois,가티누아,Aÿ Grand Cru Brut Réserve,RM,69300.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38506/
109,Varnier-Fannière GC Cuvée,Varnier-Fannière,바르니에 파니에르,GC Cuvée サンドニ,RM,71300.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38512/
110,Cazé-Thibaut,Cazé-Thibaut,카제 티보,ティボー ナチュレルマン,RM,71300.0,2025,높음,1,True,http://charme-du-vin.com/2025/07/40107/
111,Nicolas Maillart Rosé Grand Cru,Nicolas Maillart,니콜라 마이야르,Rosé Grand Cru,RM,73300.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38583/
112,Chartogne-Taillet Sainte-Anne Extra Brut,Chartogne-Taillet,샤르토뉴 타이에,Sainte-Anne Extra Brut,RM,74200.0,2025,높음,1,True,http://charme-du-vin.com/2025/06/39843/
113,Francis Boulard Blanc de Blancs Vieilles Vignes 2019,Francis Boulard,프랑시스 불라르,Blanc de Blancs Vieilles Vignes 2019,RM,74200.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38802/
114,Francis Boulard Grand Cru 2020,Francis Boulard,프랑시스 불라르,マイィ Grand Cru 2020,RM,74200.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38802/
115,Varnier-Fannière Grand Cru Cuvée,Varnier-Fannière,바르니에 파니에르,Grand Cru Cuvée サンドニ,RM,74200.0,2026,높음,1,True,http://charme-du-vin.com/2026/01/42330/
116,Pierre Paillard Les Parcelles XVIII,Pierre Paillard,피에르 파이야르,Les Parcelles XVIII,RM,75200.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38499/
117,A&F Laval Brut Nature Blanc de Noirs,A&F Laval,A&F 라발,Brut Nature Blanc de Noirs シンポジウム,RM,77200.0,2026,높음,1,True,http://charme-du-vin.com/2026/06/43875/
118,Agrapart & Fils Les 7 Crus Brut,Agrapart & Fils,아그라파르,Les 7 Crus Brut,RM,77200.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38693/
119,Nowack Sans Année Sans Année,Nowack,노박,Sans Année Sans Année,RM,77200.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44052/
120,A&F Laval Brut Nature Meunier,A&F Laval,A&F 라발,Brut Nature ブランド Meunier ユト プリウス,RM,79200.0,2026,높음,1,True,http://charme-du-vin.com/2026/06/43875/
121,Françoise Bedel,Françoise Bedel,프랑수아즈 베델,ディ ヴァン スクレ,RM,82200.0,2025,높음,1,True,http://charme-du-vin.com/2025/02/38010/
122,Jacques Lassaigne Les Vignes de Montgueux Blanc de Blancs,Jacques Lassaigne,자크 라세뉴,Les Vignes de Montgueux Blanc de Blancs,RM,83200.0,2026,높음,1,True,http://charme-du-vin.com/2026/05/43467/
123,Zoémie de Sousa Brut,Zoémie de Sousa,조에미 드 수자,Brut デジラブル [라벨불량],RM,84200.0,2025,높음,1,True,http://charme-du-vin.com/2025/12/42094/
124,Nowack Cru,Nowack,노박,オートレ Cru,RM,87100.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44052/
125,De Sousa Avize Grand Cru Blanc de Blancs,De Sousa,드 수자,Avize Grand Cru Blanc de Blancs リザーヴ,RM,89100.0,2025,높음,1,True,http://charme-du-vin.com/2025/05/39454/
126,Pierre Gimonnet Œnophile BB Non Dosé 2018,Pierre Gimonnet,피에르 지모네,Œnophile BB Non Dosé 2018,RM,97000.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41562/
127,Drémont 2022 Blanc de Blancs 1er Cru 2018,Drémont,드레몽,エメフェール 2022 Blanc de Blancs 1er Cru 2018,RM,97000.0,2026,높음,1,True,http://charme-du-vin.com/2026/05/43451/
128,Drémont Éphémère 2018 Grand Cru,Drémont,드레몽,Éphémère 2018 Grand Cru,RM,97000.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38721/
129,Drémont Éphémère 2025 Noir Grand Cru,Drémont,드레몽,Éphémère 2025 Noir エ ブラン Grand Cru,RM,97000.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38721/
130,Drémont Éphémère 2026 1er Cru 2019 Blanc de Blancs,Drémont,드레몽,Éphémère 2026 1er Cru 2019 Blanc de Blancs,RM,97000.0,2026,높음,1,True,http://charme-du-vin.com/2026/06/43873/
131,Drémont Éphémère 2022 Blanc de Blancs 1er Cru,Drémont,드레몽,Éphémère 2022 Blanc de Blancs 1er Cru [라벨불량],RM,97000.0,2025,높음,1,True,http://charme-du-vin.com/2025/12/42094/
132,Launois Blanc de Blancs 2017,Launois,로누아,エリア Blanc de Blancs 2017,RM,97000.0,2025,높음,1,True,http://charme-du-vin.com/2025/06/39785/
133,Michel Gonet GC Le Mesnil-sur-Oger Blanc de Blancs 2015,Michel Gonet,미셸 고네,GC Le Mesnil-sur-Oger Blanc de Blancs 2015,RM,104000.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44366/
134,Adrien Renoir Les Terroirs Grand Cru Noir Chardonnay,Adrien Renoir,아드리앵 르누아르,Les Terroirs Grand Cru ピノ Noir Chardonnay,RM,108900.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41474/
135,André Clouet Millésime 2008,André Clouet,앙드레 클루에,Millésime 2008,RM,113800.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41559/
136,De Sousa Cuvée 3A Grand Cru,De Sousa,드 수자,Cuvée 3A Grand Cru,RM,113800.0,2025,높음,1,True,http://charme-du-vin.com/2025/05/39454/
137,Egly-Ouriet Les,Egly-Ouriet,에글리 우리에,Les プレミス,RM,113800.0,2025,높음,1,True,http://charme-du-vin.com/2025/07/40063/
138,Nicolas Maillart 2019 Extra Brut,Nicolas Maillart,니콜라 마이야르,モンマルタン 2019 Extra Brut,RM,113800.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38583/
139,Le Clandestin 2022,Le Clandestin,르 클랑데스탱,オストラル 2022,RM,113800.0,2025,높음,1,True,http://charme-du-vin.com/2025/07/40021/
140,Benoît Lahaye Brut Nature Grand Cru,Benoît Lahaye,브누아 라예,Brut Nature Grand Cru,RM,113800.0,2026,높음,1,True,http://charme-du-vin.com/2026/02/42591/
141,Minière F&R Brut,Minière F&R,미니에르,インフリューエンス Brut,RM,113800.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44038/
142,Adrien Renoir Les Cépages Grand Cru Noir,Adrien Renoir,아드리앵 르누아르,Les Cépages Grand Cru ピノ Noir,RM,118800.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41461/
143,Dhondt-Grellet Extra Brut,Dhondt-Grellet,동 그렐레,ロックソラーレ Extra Brut,RM,118800.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41505/
144,Robert Moncuit Réserve Extra Brut,Robert Moncuit,로베르 몽퀴,Réserve ペルペチュール Extra Brut,RM,118800.0,2026,높음,1,True,http://charme-du-vin.com/2026/01/42332/
145,Michel Gonet Mesnil Blanc de Blancs 2010,Michel Gonet,미셸 고네,クールド Mesnil Blanc de Blancs 2010,RM,128700.0,2025,높음,1,True,http://charme-du-vin.com/2025/12/42054/
146,Pascal Agrapart Complantée Extra Brut,Pascal Agrapart,파스칼 아그라파르,Complantée Extra Brut,RM,128700.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38714/
147,J. Lassalle 2012,J. Lassalle,J. 라살,アンジェリーヌ 2012,RM,133600.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38512/
148,Pierre Gimonnet Spécial Club 2016,Pierre Gimonnet,피에르 지모네,Spécial Club 2016,RM,138600.0,2026,높음,1,True,http://charme-du-vin.com/2026/05/43399/
149,Pascal Agrapart Minéral 2018 Extra Brut Blanc de Blancs,Pascal Agrapart,파스칼 아그라파르,Minéral 2018 Extra Brut Blanc de Blancs,RM,168300.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38714/
150,Pascal Agrapart Avizoise Extra Brut Blanc de Blancs 2018,Pascal Agrapart,파스칼 아그라파르,Avizoise Extra Brut Blanc de Blancs 2018,RM,207900.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38717/
151,Pascal Agrapart Minéral Extra Brut Blanc de Blancs 2019,Pascal Agrapart,파스칼 아그라파르,Minéral Extra Brut Blanc de Blancs 2019,RM,207900.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44179/
152,Suenen Blanc de Blancs C+C Grand Cru,Suenen,쉬넨,Blanc de Blancs C+C Grand Cru,RM,217800.0,2025,높음,1,True,http://charme-du-vin.com/2025/04/38975/
153,Adrien Renoir Les Grand Cru Chardonnay 2020,Adrien Renoir,아드리앵 르누아르,Les モンタン Grand Cru Chardonnay 2020,RM,227700.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41461/
154,Egly-Ouriet Extra Brut Grand Cru V.P.,Egly-Ouriet,에글리 우리에,Extra Brut Grand Cru V.P.,RM,257400.0,2026,높음,1,True,http://charme-du-vin.com/2026/04/43145/
155,Adrien Renoir Les Grand Cru Noir,Adrien Renoir,아드리앵 르누아르,Les ザネ ソレラ Grand Cru ピノ Noir,RM,267300.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41474/
156,Pascal Agrapart Avizoise Extra Brut Blanc de Blancs 2019,Pascal Agrapart,파스칼 아그라파르,Avizoise Extra Brut Blanc de Blancs 2019,RM,267300.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44179/
157,Pascal Agrapart Vénus Brut Nature Blanc de Blancs 2018,Pascal Agrapart,파스칼 아그라파르,Vénus Brut Nature Blanc de Blancs 2018,RM,326700.0,2025,높음,1,True,http://charme-du-vin.com/2025/03/38717/
